source_id,title,author,matched_by,action,changed_fields,reason,existing_title,existing_author,new_title,new_author
0011db8a-c105-4981-b35b-dd22dfce827b,Magdalen Hepburn,Mrs. Oliphant (Margaret),,SKIPPED,,"status=""failed""",,,Magdalen Hepburn,Mrs. Oliphant (Margaret)
006f3d14-e304-48ef-b96e-3d5604a47522,ות,Unknown,,SKIPPED,,"status=""failed""",,,ות,Unknown
00d0ae47-42ab-4e12-af42-24af42ef5909,Immunometabolism and Metabolic Reprogramming of immune cells in human physiology and disease,Soumya R. Mohapatra; Christiane A. Opitz,,SKIPPED,,"status=""failed""",,,Immunometabolism and Metabolic Reprogramming of immune cells in human physiology and disease,Soumya R. Mohapatra; Christiane A. Opitz
00f30046-a928-4152-b669-c53bffe12c5f,THE REVERSE BIASED P SUP(+)NN SUP(+) STRUCTURE.,K. J. Rawlings,,SKIPPED,,"status=""failed""",,,THE REVERSE BIASED P SUP(+)NN SUP(+) STRUCTURE.,K. J. Rawlings
0169cfe2-4232-48c5-b177-89a06e33229d,Core Statistics,Simon N. Wood,,SKIPPED,,"status=""needs_review""",,,Core Statistics,Simon N. Wood
02727aae-e9e3-4092-a928-61d0863f26e9,ילקוט מדרשי תימן,Unknown Medieval Yemenite Scholar; חכם תימני בלתי נודע,,SKIPPED,,"status=""needs_review""",,,ילקוט מדרשי תימן,Unknown Medieval Yemenite Scholar; חכם תימני בלתי נודע
02b1841e-99ea-41ca-b444-f94a74ff14b5,זיהוי ומיפוי גן הגורם לתסמונת Long QT במשפחה ישראלית,Unknown,,SKIPPED,,"status=""failed""",,,זיהוי ומיפוי גן הגורם לתסמונת Long QT במשפחה ישראלית,Unknown
030e8448-f839-4df4-8dcd-8e49a9ba603b,בי,Unknown,,SKIPPED,,"status=""failed""",,,בי,Unknown
03143f60-e407-4c06-85d0-3ac14f982d95,ובחרות,Unknown,,SKIPPED,,"status=""failed""",,,ובחרות,Unknown
03acd72e-1c68-4a0f-9b7b-dbf95cdaa810,The International Migration Review,Unknown,,SKIPPED,,"status=""failed""",,,The International Migration Review,Unknown
043c1459-ac06-46f3-a7e7-44a670ad333f,KOPOAEBA BOMHbI,ÕEAAKC B. KPEC,,SKIPPED,,"status=""failed""",,,KOPOAEBA BOMHbI,ÕEAAKC B. KPEC
04687590-c2b2-476c-b0da-2ddca6b30679,שירי ארץ ישראל,יעקוב שנברג,,SKIPPED,,"status=""failed""",,,שירי ארץ ישראל,יעקוב שנברג
04aa7a90-e27b-48c3-8b08-c32a06e0bc82,"סדר תפלה לש""ץ",רעון. בן-ציון הופמן,,SKIPPED,,"status=""failed""",,,"סדר תפלה לש""ץ",רעון. בן-ציון הופמן
04f3b215-428c-47b9-a859-f525ee36bd00,רעית ללא חיל,Unknown,,SKIPPED,,"status=""failed""",,,רעית ללא חיל,Unknown
0507d491-b874-4733-b520-694cf61bfefd,The International Migration Review,Unknown,,SKIPPED,,"status=""failed""",,,The International Migration Review,Unknown
055603d6-b22a-4e4f-9295-156019ac4d2e,Newsletter of the Yivo,Yivo Institute for Jewish Research,,SKIPPED,,"status=""needs_review""",,,Newsletter of the Yivo,Yivo Institute for Jewish Research
06f743fa-03ca-4b9f-a13b-e23bd439d499,COBPAHME COHHHEHMM B HETDIPHAALATH TOMAX,Unknown,,SKIPPED,,"status=""failed""",,,COBPAHME COHHHEHMM B HETDIPHAALATH TOMAX,Unknown
07488ef7-81ed-40fd-b0f3-8cd96fe8b1b2,הֶרְמָן וְדוֹרתִּיאָה,ש. בן־ציון,,SKIPPED,,"status=""failed""",,,הֶרְמָן וְדוֹרתִּיאָה,ש. בן־ציון
0771e5c9-f2d0-4662-ac25-4eec7393dafd,שר,TEADEDISS,,SKIPPED,,"status=""failed""",,,שר,TEADEDISS
