id,source,title,title_he,author,philology_score,confidence,philology_tags,collection,category,language,publisher,is_journal,matched_terms,status,needs_review
7b44936d-bf37-45e2-9e8c-f899a4144838,json,Textual Criticism of the Hebrew Bible,,Emanuel Tov,0.532,medium,biblical_studies|biblical_textual_criticism|classical_philology|greek|jewish_philology|semitic_languages|textual_criticism,Jewish Philology | Classical Philology | Semitic Languages | Greek & Latin | Biblical Textual Criticism,Religion,English,BRILL,false,textual criticism; septuagint; aramaic; syriac; qumran; targumim; masoretic; vulgate; hebrew bible; [title:textual criticism]; [scholar:Emanuel Tov],done,false
85f96b9c-96c3-4d84-96cc-99ecf9670d53,json,A Dictionary of Jewish Babylonian Aramaic of the Talmudic and Geonic Periods,,Michael Sokoloff,0.528,medium,biblical_studies|epigraphy|grammar|jewish_philology|lexicography|papyrology|semitic_languages,Jewish Philology | Semitic Languages | Biblical Textual Criticism | Manuscripts & Papyrology,Foreign Language Study,English,,false,babylonian; aramaic; talmud; talmudic; epigraphic; inscriptions; lexicon; dictionary of; [title:talmudic]; [title:aramaic]; [scholar:Michael Sokoloff],done,false
c8045043-8946-4c44-84b6-32b6fb283a9e,supabase,Greek Lexicon of the Roman and Byzantine Periods,,Evangelinus Apostolides Sophocles,0.432,medium,classical_studies|grammar|greek|journal|lexicography,Classical Philology | Greek & Latin,,English,Georg Olms Verlag,true,greek lexicon; sophocles; lexicon; byzantine; [title:lexicon]; [title:greek]; [title:greek lexicon]; [journal:greek.*roman.*byzantine],,false
8995d920-b644-4256-b756-3f4c969873d5,json,Exegesis and Grammar in Medieval Karaite Texts,,Geoffrey Khan,0.388,medium,biblical_studies|codicology|grammar|lexicography|manuscripts|medieval_texts|patristics|semitic_languages,Jewish Philology | Semitic Languages | Biblical Textual Criticism | Manuscripts & Papyrology,Language Arts & Disciplines,English,"Oxford University Press, USA",false,manuscript; grammar; biblical; exegesis; medieval; [title:grammar]; [scholar:Geoffrey Khan],done,false
1d74c8ab-f71b-4440-aa6a-2055c3a9768f,json,The Documents from the Bar Kokhba Period in the Cave of Letters: No special title,,Andrew Gross,0.375,medium,biblical_studies|codicology|epigraphy|greek|jewish_philology|manuscripts|papyrology,Jewish Philology | Classical Philology | Greek & Latin | Biblical Textual Criticism | Manuscripts & Papyrology,Dead Sea scrolls,English,,false,greek papyri; dead sea scrolls; papyri; [title:papyri]; [title:greek],done,false
4ba6f59d-d31f-48af-b60c-73b097e98638,json,The Complete Dead Sea Scrolls in English,,Geza Vermes,0.372,medium,biblical_studies|codicology|jewish_philology|manuscripts|patristics,Jewish Philology | Biblical Textual Criticism | Manuscripts & Papyrology,Religion,English,Penguin UK,false,dead sea scrolls; qumran; hebrew bible; manuscripts; biblical; [title:dead sea scrolls]; [scholar:Geza Vermes],done,false
efa6463b-d3c8-419a-b522-7c99886e0542,supabase,Grammar of Septuagint Greek,,F. C. Conybeare and St. George Stock,0.365,medium,biblical_studies|grammar|greek|jewish_philology|lexicography,Jewish Philology | Classical Philology | Greek & Latin | Biblical Textual Criticism,,English,,false,greek grammar; septuagint; grammar; [title:grammar]; [title:septuagint]; [title:greek],,false
62abb982-79d3-4b31-af93-7efb82402205,json,Parva Naturalia,,Aristotle,0.363,medium,classical_philology|codicology|greek|latin|manuscripts|medieval_texts,Classical Philology | Greek & Latin | Manuscripts & Papyrology,,English,,false,manuscript tradition; aristotle; latin; manuscript; middle ages,done,false
230f631a-8a09-4075-84ae-74cd2fd4fd0f,json,The Bible in the Syriac Tradition (Third Edition),,Sebastian Brock,0.342,medium,biblical_studies|codicology|manuscripts|patristics|semitic_languages,Jewish Philology | Semitic Languages | Biblical Textual Criticism | Manuscripts & Papyrology,,English,,false,syriac; manuscripts; biblical; [title:syriac]; [scholar:Sebastian Brock],done,false
2285b0e2-f79d-46a6-9e92-307c599215ae,supabase,A Greek-English Lexicon,,Henry George Liddell and Robert Scott,0.322,medium,grammar|greek|lexicography,Classical Philology | Greek & Latin,,English,"Clarendon Press, Oxford",false,greek lexicon; liddell; scott; lexicon; [title:lexicon]; [title:greek]; [scholar:Liddell],,false
